Chromosome	Start	End
NMEL_chr_1	867875	867915
NMEL_chr_1	871472	871512
NMEL_chr_1	874449	874489
NMEL_chr_1	879196	879236
NMEL_chr_1	880668	880708
NMEL_chr_1	882256	882296
NMEL_chr_1	897969	898009
NMEL_chr_1	917431	917471
NMEL_chr_1	932267	932307
NMEL_chr_1	935165	935205
NMEL_chr_1	943674	943714
NMEL_chr_1	946687	946727
NMEL_chr_1	949930	949970
NMEL_chr_1	964550	964590
NMEL_chr_1	967326	967366
NMEL_chr_1	991439	991479
NMEL_chr_1	995322	995362
NMEL_chr_1	1018342	1018382
NMEL_chr_1	1026070	1026110
NMEL_chr_1	1035829	1035869
NMEL_chr_1	1036823	1036863
NMEL_chr_1	1044300	1044340
NMEL_chr_1	1051193	1051233
NMEL_chr_1	1055944	1055984
NMEL_chr_1	1070008	1070048
NMEL_chr_1	1071419	1071459
NMEL_chr_1	1095467	1095507
NMEL_chr_1	1097061	1097101
NMEL_chr_1	1105513	1105553
NMEL_chr_1	1109522	1109562
NMEL_chr_1	1113291	1113331
NMEL_chr_1	1119012	1119052
NMEL_chr_1	1125149	1125189
NMEL_chr_1	1129699	1129739
NMEL_chr_1	1133479	1133519
NMEL_chr_1	1150477	1150517
NMEL_chr_1	1173757	1173797
NMEL_chr_1	1178248	1178288
NMEL_chr_1	1183678	1183718
NMEL_chr_1	1190732	1190772
NMEL_chr_1	1192871	1192911
NMEL_chr_1	1199874	1199914
NMEL_chr_1	1211441	1211481
NMEL_chr_1	1216084	1216124
NMEL_chr_1	1222428	1222468
NMEL_chr_1	1234552	1234592
NMEL_chr_1	1236770	1236810
NMEL_chr_1	1248268	1248308
NMEL_chr_1	1251249	1251289
NMEL_chr_1	1255107	1255147
NMEL_chr_1	1259747	1259787
NMEL_chr_1	1276420	1276460
NMEL_chr_1	1289828	1289868
NMEL_chr_1	1297599	1297639
NMEL_chr_1	1298470	1298510
NMEL_chr_1	1309585	1309625
NMEL_chr_1	1311702	1311742
NMEL_chr_1	1313459	1313499
NMEL_chr_1	1319612	1319652
NMEL_chr_1	1321733	1321773
NMEL_chr_1	1341605	1341645
NMEL_chr_1	1343373	1343413
NMEL_chr_1	1357629	1357669
NMEL_chr_1	1368445	1368485
NMEL_chr_1	1372410	1372450
NMEL_chr_1	1382082	1382122
NMEL_chr_1	1389866	1389906
NMEL_chr_1	1392345	1392385
NMEL_chr_1	1414541	1414581
NMEL_chr_1	1420319	1420359
NMEL_chr_1	1422509	1422549
NMEL_chr_1	1426496	1426536
NMEL_chr_1	1438994	1439034
NMEL_chr_1	1440242	1440282
NMEL_chr_1	1447285	1447325
NMEL_chr_1	1458703	1458743
NMEL_chr_1	1468861	1468901
NMEL_chr_1	1483562	1483602
NMEL_chr_1	1502502	1502542
NMEL_chr_1	1505423	1505463
NMEL_chr_1	1517246	1517286
NMEL_chr_1	1523853	1523893
NMEL_chr_1	1529886	1529926
NMEL_chr_1	1546413	1546453
NMEL_chr_1	1556612	1556652
NMEL_chr_1	1595135	1595175
NMEL_chr_1	1599510	1599550
NMEL_chr_1	1614516	1614556
NMEL_chr_1	1678583	1678623
NMEL_chr_1	1683552	1683592
NMEL_chr_1	1686545	1686585
NMEL_chr_1	1691149	1691189
NMEL_chr_1	1703716	1703756
NMEL_chr_1	1715966	1716006
NMEL_chr_1	1729755	1729795
NMEL_chr_1	1737087	1737127
NMEL_chr_1	1740127	1740167
NMEL_chr_1	1743177	1743217
NMEL_chr_1	1752118	1752158
NMEL_chr_1	1771159	1771199
NMEL_chr_1	1783075	1783115
NMEL_chr_1	1785337	1785377
NMEL_chr_1	1790627	1790667
NMEL_chr_1	1794547	1794587
NMEL_chr_1	1797633	1797673
NMEL_chr_1	1822160	1822200
NMEL_chr_1	1829811	1829851
NMEL_chr_1	1831732	1831772
NMEL_chr_1	1839812	1839852
NMEL_chr_1	1841247	1841287
NMEL_chr_1	1868753	1868793
NMEL_chr_1	1882571	1882611
NMEL_chr_1	1885574	1885614
NMEL_chr_1	1890473	1890513
NMEL_chr_1	1893999	1894039
NMEL_chr_1	1896047	1896087
NMEL_chr_1	1904235	1904275
NMEL_chr_1	1911578	1911618
NMEL_chr_1	1915343	1915383
NMEL_chr_1	1947516	1947556
NMEL_chr_1	1955718	1955758
NMEL_chr_1	1964386	1964426
NMEL_chr_1	1965920	1965960
NMEL_chr_1	1989431	1989471
NMEL_chr_1	1994291	1994331
NMEL_chr_1	2005341	2005381
NMEL_chr_1	2023242	2023282
NMEL_chr_1	2026843	2026883
NMEL_chr_1	2031500	2031540
NMEL_chr_1	2036652	2036692
NMEL_chr_1	2046360	2046400
NMEL_chr_1	2063683	2063723
NMEL_chr_1	2078374	2078414
NMEL_chr_1	2086116	2086156
NMEL_chr_1	2095675	2095715
NMEL_chr_1	2105432	2105472
NMEL_chr_1	2122998	2123038
NMEL_chr_1	2126904	2126944
NMEL_chr_1	2206904	2206944
NMEL_chr_1	2209775	2209815
NMEL_chr_1	2211280	2211320
NMEL_chr_1	2215846	2215886
NMEL_chr_1	2220985	2221025
NMEL_chr_1	2231582	2231622
NMEL_chr_1	2246809	2246849
NMEL_chr_1	2263104	2263144
NMEL_chr_1	2272800	2272840
NMEL_chr_1	2287173	2287213
NMEL_chr_1	2293071	2293111
NMEL_chr_1	2302005	2302045
NMEL_chr_1	2320722	2320762
NMEL_chr_1	2337801	2337841
NMEL_chr_1	2352021	2352061
NMEL_chr_1	2359835	2359875
NMEL_chr_1	2373036	2373076
NMEL_chr_1	2378683	2378723
NMEL_chr_1	2386253	2386293
NMEL_chr_1	2395896	2395936
NMEL_chr_1	2401607	2401647
NMEL_chr_1	2411906	2411946
NMEL_chr_1	2415096	2415136
NMEL_chr_1	2416272	2416312
NMEL_chr_1	2428389	2428429
NMEL_chr_1	2431593	2431633
NMEL_chr_1	2440305	2440345
NMEL_chr_1	2447221	2447261
NMEL_chr_1	2468835	2468875
NMEL_chr_1	2509783	2509823
NMEL_chr_1	2525837	2525877
NMEL_chr_1	2540161	2540201
NMEL_chr_1	2554488	2554528
NMEL_chr_1	2635015	2635055
NMEL_chr_1	2636331	2636371
NMEL_chr_1	2658632	2658672
NMEL_chr_1	2670544	2670584
NMEL_chr_1	2687876	2687916
NMEL_chr_1	2702310	2702350
NMEL_chr_1	2712970	2713010
NMEL_chr_1	2730331	2730371
NMEL_chr_1	2740390	2740430
NMEL_chr_1	2742827	2742867
NMEL_chr_1	2750724	2750764
NMEL_chr_1	2769267	2769307
NMEL_chr_1	2806430	2806470
NMEL_chr_1	2823462	2823502
NMEL_chr_1	2838514	2838554
NMEL_chr_1	2849010	2849050
NMEL_chr_1	2852787	2852827
NMEL_chr_1	2861084	2861124
NMEL_chr_1	2868515	2868555
NMEL_chr_1	2870745	2870785
NMEL_chr_1	2910057	2910097
NMEL_chr_1	2913699	2913739
NMEL_chr_1	2942956	2942996
NMEL_chr_1	2971822	2971862
NMEL_chr_1	2973390	2973430
NMEL_chr_1	2991546	2991586
NMEL_chr_1	2999904	2999944
NMEL_chr_1	3020245	3020285
NMEL_chr_1	3021213	3021253
NMEL_chr_1	3053910	3053950
NMEL_chr_1	3074445	3074485
NMEL_chr_1	3076445	3076485
NMEL_chr_1	3080572	3080612
NMEL_chr_1	3084280	3084320
NMEL_chr_1	3098258	3098298
NMEL_chr_1	3112928	3112968
NMEL_chr_1	3140379	3140419
NMEL_chr_1	3144776	3144816
NMEL_chr_1	3159838	3159878
NMEL_chr_1	3169374	3169414
NMEL_chr_1	3174815	3174855
NMEL_chr_1	3191115	3191155
NMEL_chr_1	3230316	3230356
NMEL_chr_1	3232148	3232188
NMEL_chr_1	3247706	3247746
NMEL_chr_1	3250684	3250724
NMEL_chr_1	3254348	3254388
NMEL_chr_1	3263945	3263985
NMEL_chr_1	3264983	3265023
NMEL_chr_1	3266778	3266818
NMEL_chr_1	3270852	3270892
NMEL_chr_1	3275121	3275161
NMEL_chr_1	3287372	3287412
NMEL_chr_1	3291755	3291795
NMEL_chr_1	3297785	3297825
NMEL_chr_1	3358350	3358390
NMEL_chr_1	3366854	3366894
NMEL_chr_1	3377325	3377365
NMEL_chr_1	3378598	3378638
NMEL_chr_1	3387333	3387373
NMEL_chr_1	3391049	3391089
NMEL_chr_1	3400208	3400248
NMEL_chr_1	3413893	3413933
NMEL_chr_1	3416493	3416533
NMEL_chr_1	3447573	3447613
NMEL_chr_1	3448752	3448792
NMEL_chr_1	3451654	3451694
NMEL_chr_1	3472180	3472220
NMEL_chr_1	3487008	3487048
NMEL_chr_1	3491521	3491561
NMEL_chr_1	3505421	3505461
NMEL_chr_1	3521092	3521132
NMEL_chr_1	3529055	3529095
NMEL_chr_1	3533114	3533154
NMEL_chr_1	3573255	3573295
NMEL_chr_1	3577469	3577509
NMEL_chr_1	3589039	3589079
NMEL_chr_1	3593877	3593917
NMEL_chr_1	3603449	3603489
NMEL_chr_1	3613330	3613370
NMEL_chr_1	3616745	3616785
NMEL_chr_1	3624455	3624495
NMEL_chr_1	3631027	3631067
NMEL_chr_1	3636789	3636829
NMEL_chr_1	3657284	3657324
NMEL_chr_1	3671253	3671293
NMEL_chr_1	3674938	3674978
NMEL_chr_1	3699406	3699446
NMEL_chr_1	3715510	3715550
NMEL_chr_1	3749050	3749090
NMEL_chr_1	3756149	3756189
NMEL_chr_1	3763888	3763928
NMEL_chr_1	3765886	3765926
NMEL_chr_1	3777397	3777437
NMEL_chr_1	3780047	3780087
NMEL_chr_1	3812449	3812489
NMEL_chr_1	3825557	3825597
NMEL_chr_1	3889633	3889673
NMEL_chr_1	3901481	3901521
NMEL_chr_1	3904942	3904982
NMEL_chr_1	3916994	3917034
NMEL_chr_1	3932416	3932456
NMEL_chr_1	3936287	3936327
NMEL_chr_1	3961635	3961675
NMEL_chr_1	3967696	3967736
NMEL_chr_1	3980217	3980257
NMEL_chr_1	3986461	3986501
NMEL_chr_1	3998979	3999019
NMEL_chr_1	4006628	4006668
NMEL_chr_1	4037000	4037040
NMEL_chr_1	4040612	4040652
NMEL_chr_1	4062491	4062531
NMEL_chr_1	4082706	4082746
NMEL_chr_1	4084082	4084122
NMEL_chr_1	4093796	4093836
NMEL_chr_1	4136683	4136723
NMEL_chr_1	4164642	4164682
NMEL_chr_1	4170225	4170265
NMEL_chr_1	4171241	4171281
NMEL_chr_1	4219736	4219776
NMEL_chr_1	4235653	4235693
NMEL_chr_1	4277033	4277073
NMEL_chr_1	4279521	4279561
NMEL_chr_1	4288102	4288142
NMEL_chr_1	4296463	4296503
NMEL_chr_1	4326030	4326070
NMEL_chr_1	4351381	4351421
NMEL_chr_1	4359142	4359182
NMEL_chr_1	4365134	4365174
NMEL_chr_1	4419544	4419584
NMEL_chr_1	4462241	4462281
NMEL_chr_1	4491799	4491839
NMEL_chr_1	4537109	4537149
NMEL_chr_1	4547484	4547524
NMEL_chr_1	4553839	4553879
NMEL_chr_1	4554707	4554747
NMEL_chr_1	4566425	4566465
NMEL_chr_1	4580289	4580329
NMEL_chr_1	4594211	4594251
NMEL_chr_1	4617828	4617868
NMEL_chr_1	4632041	4632081
NMEL_chr_1	4634154	4634194
NMEL_chr_1	4637881	4637921
NMEL_chr_1	4640070	4640110
NMEL_chr_1	4651407	4651447
NMEL_chr_1	4654409	4654449
NMEL_chr_1	4657790	4657830
NMEL_chr_1	4680805	4680845
NMEL_chr_1	4684000	4684040
NMEL_chr_1	4685926	4685966
NMEL_chr_1	4692852	4692892
NMEL_chr_1	4696844	4696884
NMEL_chr_1	4703880	4703920
NMEL_chr_1	4710664	4710704
NMEL_chr_1	4716301	4716341
NMEL_chr_1	4725228	4725268
NMEL_chr_1	4728217	4728257
NMEL_chr_1	4732826	4732866
NMEL_chr_1	4745861	4745901
NMEL_chr_1	4767116	4767156
NMEL_chr_1	4769974	4770014
NMEL_chr_1	4814725	4814765
NMEL_chr_1	4820832	4820872
NMEL_chr_1	4825929	4825969
NMEL_chr_1	4836451	4836491
NMEL_chr_1	4838124	4838164
NMEL_chr_1	4841705	4841745
NMEL_chr_1	4846390	4846430
NMEL_chr_1	4854424	4854464
NMEL_chr_1	4869013	4869053
NMEL_chr_1	4876314	4876354
NMEL_chr_1	4880687	4880727
NMEL_chr_1	4898837	4898877
NMEL_chr_1	4904008	4904048
NMEL_chr_1	4906961	4907001
NMEL_chr_1	4917587	4917627
NMEL_chr_1	4919235	4919275
NMEL_chr_1	4925696	4925736
NMEL_chr_1	4934625	4934665
NMEL_chr_1	4936410	4936450
NMEL_chr_1	4953762	4953802
NMEL_chr_1	4958466	4958506
NMEL_chr_1	4966154	4966194
NMEL_chr_1	4967675	4967715
NMEL_chr_1	4974414	4974454
NMEL_chr_1	4988776	4988816
NMEL_chr_1	4991481	4991521
NMEL_chr_1	4998684	4998724
NMEL_chr_1	5006837	5006877
NMEL_chr_1	5010458	5010498
NMEL_chr_1	5014031	5014071
NMEL_chr_1	5017455	5017495
NMEL_chr_1	5038334	5038374
NMEL_chr_1	5050406	5050446
NMEL_chr_1	5054048	5054088
NMEL_chr_1	5055179	5055219
NMEL_chr_1	5074699	5074739
NMEL_chr_1	5083756	5083796
NMEL_chr_1	5088228	5088268
NMEL_chr_1	5094918	5094958
NMEL_chr_1	5101436	5101476
NMEL_chr_1	5107367	5107407
NMEL_chr_1	5126531	5126571
NMEL_chr_1	5135122	5135162
NMEL_chr_1	5159282	5159322
NMEL_chr_1	5173911	5173951
NMEL_chr_1	5188837	5188877
NMEL_chr_1	5192923	5192963
NMEL_chr_1	5204671	5204711
NMEL_chr_1	5210889	5210929
NMEL_chr_1	5213045	5213085
NMEL_chr_1	5238107	5238147
NMEL_chr_1	5241922	5241962
NMEL_chr_1	5247114	5247154
NMEL_chr_1	5258142	5258182
NMEL_chr_1	5278063	5278103
NMEL_chr_1	5279455	5279495
NMEL_chr_1	5280757	5280797
NMEL_chr_1	5281698	5281738
NMEL_chr_1	5313035	5313075
NMEL_chr_1	5316131	5316171
NMEL_chr_1	5335958	5335998
NMEL_chr_1	5353779	5353819
NMEL_chr_1	5355462	5355502
NMEL_chr_1	5356759	5356799
NMEL_chr_1	5367974	5368014
NMEL_chr_1	5370381	5370421
NMEL_chr_1	5372474	5372514
NMEL_chr_1	5374932	5374972
NMEL_chr_1	5390153	5390193
NMEL_chr_1	5400881	5400921
NMEL_chr_1	5413231	5413271
NMEL_chr_1	5417189	5417229
NMEL_chr_1	5418655	5418695
NMEL_chr_1	5437996	5438036
NMEL_chr_1	5443999	5444039
NMEL_chr_1	5449620	5449660
NMEL_chr_1	5465842	5465882
NMEL_chr_1	5476594	5476634
NMEL_chr_1	5478586	5478626
NMEL_chr_1	5481182	5481222
NMEL_chr_1	5482438	5482478
NMEL_chr_1	5491565	5491605
NMEL_chr_1	5492751	5492791
NMEL_chr_1	5506702	5506742
NMEL_chr_1	5522593	5522633
NMEL_chr_1	5535385	5535425
NMEL_chr_1	5541738	5541778
NMEL_chr_1	5546875	5546915
NMEL_chr_1	5551813	5551853
NMEL_chr_1	5555748	5555788
NMEL_chr_1	5574307	5574347
NMEL_chr_1	5575472	5575512
NMEL_chr_1	5577444	5577484
NMEL_chr_1	5586126	5586166
NMEL_chr_1	5604125	5604165
NMEL_chr_1	5615538	5615578
NMEL_chr_1	5616887	5616927
NMEL_chr_1	5621639	5621679
NMEL_chr_1	5623606	5623646
NMEL_chr_1	5627202	5627242
NMEL_chr_1	5643424	5643464
NMEL_chr_1	5645524	5645564
NMEL_chr_1	5657621	5657661
NMEL_chr_1	5668894	5668934
NMEL_chr_1	5672884	5672924
NMEL_chr_1	5695586	5695626
NMEL_chr_1	5720760	5720800
NMEL_chr_1	5731377	5731417
NMEL_chr_1	5732297	5732337
NMEL_chr_1	5748929	5748969
NMEL_chr_1	5794487	5794527
NMEL_chr_1	5796039	5796079
NMEL_chr_1	5803213	5803253
NMEL_chr_1	5804364	5804404
NMEL_chr_1	5810226	5810266
NMEL_chr_1	5812272	5812312
NMEL_chr_1	5824208	5824248
NMEL_chr_1	5827933	5827973
NMEL_chr_1	5850147	5850187
NMEL_chr_1	5857087	5857127
NMEL_chr_1	5858858	5858898
NMEL_chr_1	5861563	5861603
NMEL_chr_1	5877516	5877556
NMEL_chr_1	5889256	5889296
NMEL_chr_1	5898977	5899017
NMEL_chr_1	5908579	5908619
NMEL_chr_1	5918359	5918399
NMEL_chr_1	5933059	5933099
NMEL_chr_1	5976739	5976779
NMEL_chr_1	5980046	5980086
NMEL_chr_1	5980978	5981018
NMEL_chr_1	5992644	5992684
NMEL_chr_1	5997703	5997743
NMEL_chr_1	6008173	6008213
NMEL_chr_1	6019564	6019604
NMEL_chr_1	6039720	6039760
NMEL_chr_1	6041390	6041430
NMEL_chr_1	6048497	6048537
NMEL_chr_1	6054111	6054151
NMEL_chr_1	6064933	6064973
NMEL_chr_1	6077906	6077946
NMEL_chr_1	6102860	6102900
NMEL_chr_1	6121572	6121612
NMEL_chr_1	6169697	6169737
NMEL_chr_1	6183528	6183568
NMEL_chr_1	6196417	6196457
NMEL_chr_1	6233274	6233314
NMEL_chr_1	6244344	6244384
NMEL_chr_1	6281791	6281831
NMEL_chr_1	6286556	6286596
NMEL_chr_1	6309513	6309553
NMEL_chr_1	6315984	6316024
NMEL_chr_1	6334526	6334566
NMEL_chr_1	6366482	6366522
NMEL_chr_1	6374788	6374828
NMEL_chr_1	6384418	6384458
NMEL_chr_1	6418498	6418538
NMEL_chr_1	6442597	6442637
NMEL_chr_1	6447147	6447187
NMEL_chr_1	6450212	6450252
NMEL_chr_1	6451481	6451521
NMEL_chr_1	6456630	6456670
NMEL_chr_1	6462495	6462535
NMEL_chr_1	6476886	6476926
NMEL_chr_1	6479836	6479876
NMEL_chr_1	6486847	6486887
NMEL_chr_1	6490406	6490446
NMEL_chr_1	6495917	6495957
NMEL_chr_1	6502126	6502166
NMEL_chr_1	6504563	6504603
NMEL_chr_1	6505589	6505629
NMEL_chr_1	6506990	6507030
NMEL_chr_1	6517076	6517116
NMEL_chr_1	6527977	6528017
NMEL_chr_1	6531826	6531866
NMEL_chr_1	6535971	6536011
NMEL_chr_1	6557827	6557867
NMEL_chr_1	6561063	6561103
NMEL_chr_1	6587460	6587500
NMEL_chr_1	6595447	6595487
NMEL_chr_1	6612338	6612378
NMEL_chr_1	6613313	6613353
NMEL_chr_1	6618970	6619010
NMEL_chr_1	6621627	6621667
NMEL_chr_1	6642186	6642226
NMEL_chr_1	6648296	6648336
NMEL_chr_1	6699750	6699790
NMEL_chr_1	6704718	6704758
NMEL_chr_1	6710200	6710240
NMEL_chr_1	6717079	6717119
NMEL_chr_1	6733067	6733107
NMEL_chr_1	6751472	6751512
NMEL_chr_1	6752385	6752425
NMEL_chr_1	6763852	6763892
NMEL_chr_1	6788390	6788430
NMEL_chr_1	6791425	6791465
NMEL_chr_1	6820391	6820431
NMEL_chr_1	6850933	6850973
NMEL_chr_1	6867947	6867987
NMEL_chr_1	6880099	6880139
NMEL_chr_1	6889133	6889173
NMEL_chr_1	6900753	6900793
NMEL_chr_1	6908703	6908743
NMEL_chr_1	6960626	6960666
NMEL_chr_1	6965244	6965284
NMEL_chr_1	6966953	6966993
NMEL_chr_1	6979709	6979749
NMEL_chr_1	7007228	7007268
NMEL_chr_1	7017625	7017665
NMEL_chr_1	7073959	7073999
NMEL_chr_1	7080993	7081033
NMEL_chr_1	7083885	7083925
NMEL_chr_1	7091164	7091204
NMEL_chr_1	7094098	7094138
NMEL_chr_1	7104546	7104586
NMEL_chr_1	7110789	7110829
NMEL_chr_1	7117551	7117591
NMEL_chr_1	7124816	7124856
NMEL_chr_1	7127609	7127649
NMEL_chr_1	7129729	7129769
NMEL_chr_1	7132767	7132807
NMEL_chr_1	7140202	7140242
NMEL_chr_1	7143266	7143306
NMEL_chr_1	7154611	7154651
NMEL_chr_1	7166399	7166439
NMEL_chr_1	7179224	7179264
NMEL_chr_1	7180622	7180662
NMEL_chr_1	7183430	7183470
NMEL_chr_1	7186570	7186610
NMEL_chr_1	7195653	7195693
NMEL_chr_1	7197468	7197508
NMEL_chr_1	7200751	7200791
NMEL_chr_1	7205537	7205577
NMEL_chr_1	7211431	7211471
NMEL_chr_1	7212734	7212774
NMEL_chr_1	7237032	7237072
NMEL_chr_1	7239664	7239704
NMEL_chr_1	7241206	7241246
NMEL_chr_1	7245894	7245934
NMEL_chr_1	7250929	7250969
NMEL_chr_1	7254587	7254627
NMEL_chr_1	7256458	7256498
NMEL_chr_1	7259191	7259231
NMEL_chr_1	7261224	7261264
NMEL_chr_1	7262525	7262565
NMEL_chr_1	7267829	7267869
NMEL_chr_1	7274538	7274578
NMEL_chr_1	7280161	7280201
NMEL_chr_1	7285319	7285359
NMEL_chr_1	7291022	7291062
NMEL_chr_1	7299019	7299059
NMEL_chr_1	7319207	7319247
NMEL_chr_1	7322971	7323011
NMEL_chr_1	7325466	7325506
NMEL_chr_1	7328345	7328385
NMEL_chr_1	7331149	7331189
NMEL_chr_1	7333219	7333259
NMEL_chr_1	7344702	7344742
NMEL_chr_1	7347226	7347266
NMEL_chr_1	7348183	7348223
NMEL_chr_1	7350523	7350563
NMEL_chr_1	7352249	7352289
NMEL_chr_1	7356202	7356242
NMEL_chr_1	7358164	7358204
NMEL_chr_1	7362403	7362443
NMEL_chr_1	7368747	7368787
NMEL_chr_1	7370305	7370345
NMEL_chr_1	7380951	7380991
NMEL_chr_1	7390192	7390232
NMEL_chr_1	7397461	7397501
NMEL_chr_1	7408803	7408843
NMEL_chr_1	7415900	7415940
NMEL_chr_1	7420793	7420833
NMEL_chr_1	7424774	7424814
NMEL_chr_1	7444367	7444407
NMEL_chr_1	7446518	7446558
NMEL_chr_1	7454450	7454490
NMEL_chr_1	7465071	7465111
NMEL_chr_1	7466613	7466653
NMEL_chr_1	7495608	7495648
NMEL_chr_1	7500268	7500308
NMEL_chr_1	7502915	7502955
NMEL_chr_1	7511193	7511233
NMEL_chr_1	7515936	7515976
NMEL_chr_1	7518975	7519015
NMEL_chr_1	7520043	7520083
NMEL_chr_1	7539266	7539306
NMEL_chr_1	7540678	7540718
NMEL_chr_1	7543027	7543067
NMEL_chr_1	7547053	7547093
NMEL_chr_1	7550592	7550632
NMEL_chr_1	7552374	7552414
NMEL_chr_1	7556624	7556664
NMEL_chr_1	7566236	7566276
NMEL_chr_1	7567883	7567923
NMEL_chr_1	7570766	7570806
NMEL_chr_1	7577424	7577464
NMEL_chr_1	7583394	7583434
NMEL_chr_1	7585534	7585574
NMEL_chr_1	7606600	7606640
NMEL_chr_1	7616016	7616056
NMEL_chr_1	7624143	7624183
NMEL_chr_1	7625862	7625902
NMEL_chr_1	7627940	7627980
NMEL_chr_1	7631571	7631611
NMEL_chr_1	7633209	7633249
NMEL_chr_1	7636316	7636356
NMEL_chr_1	7646757	7646797
NMEL_chr_1	7650370	7650410
NMEL_chr_1	7653622	7653662
NMEL_chr_1	7659992	7660032
NMEL_chr_1	7672253	7672293
NMEL_chr_1	7676517	7676557
NMEL_chr_1	7685997	7686037
NMEL_chr_1	7691762	7691802
NMEL_chr_1	7696043	7696083
NMEL_chr_1	7703642	7703682
NMEL_chr_1	7707039	7707079
NMEL_chr_1	7711091	7711131
NMEL_chr_1	7719254	7719294
NMEL_chr_1	7727677	7727717
NMEL_chr_1	7742324	7742364
NMEL_chr_1	7765710	7765750
NMEL_chr_1	7769219	7769259
NMEL_chr_1	7773844	7773884
NMEL_chr_1	7796440	7796480
NMEL_chr_1	7798160	7798200
NMEL_chr_1	7805078	7805118
NMEL_chr_1	7814399	7814439
NMEL_chr_1	7818326	7818366
NMEL_chr_1	7829256	7829296
NMEL_chr_1	7839691	7839731
NMEL_chr_1	7842155	7842195
